video_path,label
C:\Users\Yash\Desktop\CS\Projects\AIGeneratedVideoDetection\data\AEGIS\hard_test_set_video\test_data\ai_gen\kling\001.mp4,fake
C:\Users\Yash\Desktop\CS\Projects\AIGeneratedVideoDetection\data\AEGIS\hard_test_set_video\test_data\ai_gen\kling\002.mp4,fake
C:\Users\Yash\Desktop\CS\Projects\AIGeneratedVideoDetection\data\AEGIS\hard_test_set_video\test_data\ai_gen\kling\003.mp4,fake
C:\Users\Yash\Desktop\CS\Projects\AIGeneratedVideoDetection\data\AEGIS\hard_test_set_video\test_data\ai_gen\kling\004.mp4,fake
C:\Users\Yash\Desktop\CS\Projects\AIGeneratedVideoDetection\data\AEGIS\hard_test_set_video\test_data\ai_gen\kling\005.mp4,fake
C:\Users\Yash\Desktop\CS\Projects\AIGeneratedVideoDetection\data\AEGIS\hard_test_set_video\test_data\ai_gen\kling\006.mp4,fake
C:\Users\Yash\Desktop\CS\Projects\AIGeneratedVideoDetection\data\AEGIS\hard_test_set_video\test_data\ai_gen\kling\007.mp4,fake
C:\Users\Yash\Desktop\CS\Projects\AIGeneratedVideoDetection\data\AEGIS\hard_test_set_video\test_data\ai_gen\kling\008.mp4,fake
C:\Users\Yash\Desktop\CS\Projects\AIGeneratedVideoDetection\data\AEGIS\hard_test_set_video\test_data\ai_gen\kling\009.mp4,fake
C:\Users\Yash\Desktop\CS\Projects\AIGeneratedVideoDetection\data\AEGIS\hard_test_set_video\test_data\ai_gen\kling\010.mp4,fake
C:\Users\Yash\Desktop\CS\Projects\AIGeneratedVideoDetection\data\AEGIS\hard_test_set_video\test_data\ai_gen\kling\011.mp4,fake
C:\Users\Yash\Desktop\CS\Projects\AIGeneratedVideoDetection\data\AEGIS\hard_test_set_video\test_data\ai_gen\kling\012.mp4,fake
C:\Users\Yash\Desktop\CS\Projects\AIGeneratedVideoDetection\data\AEGIS\hard_test_set_video\test_data\ai_gen\kling\013.mp4,fake
C:\Users\Yash\Desktop\CS\Projects\AIGeneratedVideoDetection\data\AEGIS\hard_test_set_video\test_data\ai_gen\kling\014.mp4,fake
C:\Users\Yash\Desktop\CS\Projects\AIGeneratedVideoDetection\data\AEGIS\hard_test_set_video\test_data\ai_gen\kling\015.mp4,fake
C:\Users\Yash\Desktop\CS\Projects\AIGeneratedVideoDetection\data\AEGIS\hard_test_set_video\test_data\ai_gen\kling\016.mp4,fake
C:\Users\Yash\Desktop\CS\Projects\AIGeneratedVideoDetection\data\AEGIS\hard_test_set_video\test_data\ai_gen\kling\017.mp4,fake
C:\Users\Yash\Desktop\CS\Projects\AIGeneratedVideoDetection\data\AEGIS\hard_test_set_video\test_data\ai_gen\kling\018.mp4,fake
C:\Users\Yash\Desktop\CS\Projects\AIGeneratedVideoDetection\data\AEGIS\hard_test_set_video\test_data\ai_gen\kling\019.mp4,fake
C:\Users\Yash\Desktop\CS\Projects\AIGeneratedVideoDetection\data\AEGIS\hard_test_set_video\test_data\ai_gen\kling\020.mp4,fake
C:\Users\Yash\Desktop\CS\Projects\AIGeneratedVideoDetection\data\AEGIS\hard_test_set_video\test_data\ai_gen\kling\021.mp4,fake
C:\Users\Yash\Desktop\CS\Projects\AIGeneratedVideoDetection\data\AEGIS\hard_test_set_video\test_data\ai_gen\kling\022.mp4,fake
C:\Users\Yash\Desktop\CS\Projects\AIGeneratedVideoDetection\data\AEGIS\hard_test_set_video\test_data\ai_gen\kling\023.mp4,fake
C:\Users\Yash\Desktop\CS\Projects\AIGeneratedVideoDetection\data\AEGIS\hard_test_set_video\test_data\ai_gen\kling\024.mp4,fake
C:\Users\Yash\Desktop\CS\Projects\AIGeneratedVideoDetection\data\AEGIS\hard_test_set_video\test_data\ai_gen\kling\025.mp4,fake
C:\Users\Yash\Desktop\CS\Projects\AIGeneratedVideoDetection\data\AEGIS\hard_test_set_video\test_data\ai_gen\kling\026.mp4,fake
C:\Users\Yash\Desktop\CS\Projects\AIGeneratedVideoDetection\data\AEGIS\hard_test_set_video\test_data\ai_gen\kling\027.mp4,fake
